EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10131198,MCLENNAN CO., ,02/29/1980,2310,Hail,1.00, ,0,0,0,0,TX,CST, , ,C,309,MT,0,0, , ,0,0,0, ,0, , ,02/29/1980,2310,31.47,-97.12, , ,"","",153
10001879,MONROE CO., ,03/01/1980,1913,Thunderstorm Wind,52, ,0,0,0,0,FL,CST, , ,C,87,S,0,0, , ,0,0,0, ,0, , ,03/01/1980,1913,24.55,-81.75, , ,"","",154
10001880,BROWARD CO., ,03/01/1980,2000,Tornado,0,F3,1,33,25000000,0,FL,CST, , ,C,11, ,0,0, , ,7.8,500,0, ,0, , ,03/01/1980,2000,26.17,-80.17,26.25,-80.08,"","",155
10001881,BROWARD CO., ,03/01/1980,2015,Tornado,0,F1,0,0,2500000,0,FL,CST, , ,C,11, ,0,0, , ,.5,33,0, ,0, , ,03/01/1980,2015,26.33,-80.08, , ,"","",156
9991269,LOS ANGELES CO., ,03/02/1980,1700,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,37,ATA,0,0, , ,0,0,0, ,0, , ,03/02/1980,1700,34.03,-118.30, , ,"","",157
9991270,LOS ANGELES CO., ,03/02/1980,2050,Thunderstorm Wind,60, ,0,0,0,0,CA,CST, , ,C,37,T,0,0, , ,0,0,0, ,0, , ,03/02/1980,2050,34.03,-118.30, , ,"","",158
10089951,DARE CO., ,03/03/1980,1959,Thunderstorm Wind,54, ,0,0,0,0,NC,CST, , ,C,55,S,0,0, , ,0,0,0, ,0, , ,03/03/1980,1959,35.27,-75.55, , ,"","",159
9981298,GARLAND CO., ,03/04/1980,2152,Hail,1.75, ,0,0,0,0,AR,CST, , ,C,51,NG,0,0, , ,0,0,0, ,0, , ,03/04/1980,2152,34.47,-93.05, , ,"","",160
9977717,ST. CLAIR CO., ,03/05/1980,920,Hail,.75, ,0,0,0,0,AL,CST, , ,C,115,NG,0,0, , ,0,0,0, ,0, , ,03/05/1980,920,33.65,-86.47, , ,"","",161
9977718,TALLAPOOSA CO., ,03/05/1980,1400,Hail,1.75, ,0,0,0,0,AL,CST, , ,C,123,MT,0,0, , ,0,0,0, ,0, , ,03/05/1980,1400,32.95,-85.97, , ,"","",162
9977719,TALLAPOOSA CO., ,03/05/1980,1430,Hail,1.75, ,0,0,0,0,AL,CST, , ,C,123,MT,0,0, , ,0,0,0, ,0, , ,03/05/1980,1430,32.80,-85.65, , ,"","",163
9977720,BULLOCK CO., ,03/05/1980,1450,Hail,1.75, ,0,0,0,0,AL,CST, , ,C,11,NG,0,0, , ,0,0,0, ,0, , ,03/05/1980,1450,32.15,-85.75, , ,"","",164
9994489,WORTH CO., ,03/05/1980,1845,Hail,1.75, ,0,0,0,0,GA,CST, , ,C,321,T,0,0, , ,0,0,0, ,0, , ,03/05/1980,1845,31.78,-83.97, , ,"","",165
9991271,ORANGE CO., ,03/06/1980,645,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,59,PER,0,0, , ,0,0,0, ,0, , ,03/06/1980,645,33.88,-117.98, , ,"","",166
9991272,LOS ANGELES CO., ,03/06/1980,700,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,37,PER,0,0, , ,0,0,0, ,0, , ,03/06/1980,700,33.78,-118.17, , ,"","",167
9991273,RIVERSIDE CO., ,03/06/1980,730,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,65,PER,0,0, , ,0,0,0, ,0, , ,03/06/1980,730,33.95,-117.40, , ,"","",168
9991274,KINGS CO., ,03/06/1980,1817,Hail,1.25, ,0,0,0,0,CA,CST, , ,C,31,S,0,0, , ,0,0,0, ,0, , ,03/06/1980,1817,36.33,-119.95, , ,"","",169
9982911,NAVAJO CO., ,03/06/1980,2005,Thunderstorm Wind,50, ,0,0,0,0,AZ,CST, , ,C,17,S,0,0, , ,0,0,0, ,0, , ,03/06/1980,2005,35.02,-110.72, , ,"","",170
10058514,BOONE CO., ,03/07/1980,930,Hail,.75, ,0,0,0,0,MO,CST, , ,C,19,NG,0,0, , ,0,0,0, ,0, , ,03/07/1980,930,38.77,-92.17, , ,"","",171
10060602,LAUDERDALE CO., ,03/07/1980,1340,Thunderstorm Wind,0, ,0,0,0,0,MS,CST, , ,C,75,ATA,0,0, , ,0,0,0, ,0, , ,03/07/1980,1340,32.48,-88.77, , ,"","",172
